make_model,power_kW,mileage,age,engine_size,type,price
Mercedes-Benz A 220,125.0,59618.0,9.0,2143.0,Used,21500.0
Mercedes-Benz A 200,100.0,99000.0,7.0,2143.0,Used,19490.0
Mercedes-Benz A 180,90.0,63871.0,5.0,1595.0,Used,18390.0
Mercedes-Benz A 200,100.0,79994.0,5.0,2143.0,Used,20841.0
Mercedes-Benz A 200,120.0,12300.0,3.0,1332.0,Used,34900.0
Mercedes-Benz A 45 AMG,280.0,39000.0,5.0,1991.0,Used,38000.0
Mercedes-Benz A 200,120.0,74546.0,4.0,1332.0,Used,23095.0
Mercedes-Benz A 180,85.0,29000.0,3.0,1461.0,Used,23490.0
Mercedes-Benz A 200,100.0,30620.0,5.0,2143.0,Used,19290.0
Mercedes-Benz A 250,118.0,37021.0,2.0,1332.0,Used,32500.0
Mercedes-Benz A 180,80.0,94467.0,2.0,1991.0,Used,26390.0
Mercedes-Benz A 200,110.0,1.0,0.0,1950.0,Pre-registered,44990.0
Mercedes-Benz A 200,110.0,1.0,0.0,1950.0,Pre-registered,45990.0
Mercedes-Benz A 200,120.0,47794.0,3.0,1332.0,Used,27490.0
Mercedes-Benz A 200,110.0,1.0,0.0,1950.0,Pre-registered,44990.0
Mercedes-Benz A 250,160.0,16500.0,6.0,1991.0,Used,27500.0
Mercedes-Benz A 180,85.0,29600.0,1.0,1950.0,Used,30500.0
Mercedes-Benz A 35 AMG,225.0,34000.0,3.0,1991.0,Used,44500.0
Mercedes-Benz A 45 AMG,265.0,75000.0,8.0,1991.0,Used,32500.0
Mercedes-Benz A 220,140.0,19900.0,2.0,1950.0,Used,43900.0
Mercedes-Benz A 180,85.0,79163.0,4.0,1461.0,Used,23868.0
Mercedes-Benz A 180,80.0,160000.0,7.0,1461.0,Used,16500.0
Mercedes-Benz A 45 AMG,265.0,110000.0,7.0,1991.0,Used,32900.0
Mercedes-Benz A 180,85.0,28000.0,4.0,1461.0,Used,25490.0
Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used,23990.0
Mercedes-Benz A 180,80.0,123462.0,3.0,1461.0,Used,22700.0
Mercedes-Benz A 200,120.0,32583.0,3.0,1332.0,Used,27990.0
Mercedes-Benz A 200,100.0,118412.0,7.0,2143.0,Used,16449.0
Mercedes-Benz A 200,115.0,62207.0,10.0,2143.0,Used,17450.0
Mercedes-Benz A 200,110.0,1.0,0.0,1950.0,Pre-registered,44990.0
Mercedes-Benz A 45 AMG,265.0,29841.0,8.0,1991.0,Used,39500.0
Mercedes-Benz A 180,90.0,63871.0,5.0,1595.0,Used,18390.0
Mercedes-Benz A 200,110.0,52000.0,3.0,1950.0,Used,25200.0
Mercedes-Benz A 200,110.0,63304.0,3.0,1950.0,Used,33250.0
Mercedes-Benz A 45 AMG,280.0,115000.0,6.0,1991.0,Used,33900.0
Mercedes-Benz A 200,100.0,79994.0,5.0,2143.0,Used,20841.0
Mercedes-Benz A 200,120.0,40000.0,3.0,1332.0,Used,32500.0
Mercedes-Benz A 200,100.0,245000.0,7.0,2143.0,Used,15900.0
Mercedes-Benz A 200,100.0,174948.0,7.0,2143.0,Used,16729.0
Mercedes-Benz A 180,80.0,82000.0,8.0,1461.0,Used,17490.0
Mercedes-Benz A 250,165.0,17264.0,1.0,1991.0,Used,44900.0
Mercedes-Benz A 45 AMG,265.0,20167.0,8.0,1991.0,Used,39900.0
Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used,23990.0
Mercedes-Benz A 200,100.0,93361.0,5.0,2143.0,Used,19490.0
